chr,start,end,strand,symbol,length,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,RAS/CAS,PValueRAS/CAS,FDR,RAS/WT,PValueRAS/WT,FDR,P53KO/WT,PValueP53KO/WT,FDR,CAS/WT,PValueCAS/WT,FDR,Name
chr15,54402920,54434401,+,Mal2,2779,1990,2322,1572,1576,4401,3366,3042,3824,1.17,8.08E-09,5.39E-08,-0.8,7.84E-05,0.00095676,-0.752751858,3.72E-06,2.52E-05,-1.973315392,2.77E-21,3.21E-20,"mal, T cell differentiation protein 2"
chr2,127530125,127555633,-,Mall,1971,2,2,8,4,0,3,4,0,-2.26,0.194802702,0.346647381,-2.23,0.772393507,1,-0.833578065,1,1,0.030113433,0.705261492,0.964190663,"mal, T cell differentiation protein-like"
chr18,65590650,65638446,+,Malt1,5024,311,439,1930,1563,1221,599,261,322,-0.97,4.29E-05,0.000171798,0.89,0.034748484,0.155018958,0.111237234,0.835197337,1,1.862147915,1.33E-09,6.52E-09,MALT1 paracaspase
chr19,23377098,23522812,-,Mamdc2,3352,121,117,12,24,170,77,99,75,3.57,1.97E-11,1.75E-10,-0.52,0.083510112,0.295841171,0.148153276,0.602426688,0.907525522,-4.093048196,1.29E-15,1.01E-14,MAM domain containing 2
chr2,25418634,25426836,-,Mamdc4,4019,118,194,189,109,212,97,77,33,-0.15,0.823388239,1,0.14,0.354439306,0.75487257,0.455256638,0.007110213,0.02281079,0.284031026,0.245810544,0.401647827,MAM domain containing 4
chr11,50069136,50105838,-,Maml1,5557,544,761,968,810,1595,976,768,945,0.41,0.076200959,0.155784288,-0.28,0.052160779,0.20857132,-0.637615864,0.00267783,0.009632063,-0.685443895,0.00022433,0.000645626,mastermind like 1 (Drosophila)
chr9,13424432,13513977,+,Maml2,6144,103,158,349,323,311,113,42,48,-0.45,0.006036383,0.016377019,1.56,0.001138728,0.009933948,1.13055702,0.000510346,0.002195973,2.004409106,8.14E-09,3.74E-08,mastermind like 2 (Drosophila)
chr3,51491534,51908928,-,Maml3,6517,67,147,576,523,168,83,73,152,-2.05,8.65E-08,5.08E-07,-0.1,0.033467092,0.151281453,-0.266797242,0.34280663,0.606395653,1.950070322,0.000915073,0.00240297,mastermind like 3 (Drosophila)
chrX,68303430,68407892,+,Mamld1,3464,4,22,51,32,46,10,8,11,-0.34,0.223310321,0.389254346,1.24,0.637415795,1,-1.076679177,1,1,1.575096223,0.099961769,0.181167551,mastermind-like domain containing 1
chr7,52895346,52901138,+,Mamstr,2189,46,36,58,24,74,33,15,4,0,0.661482685,0.915323466,0.94,0.027087175,0.128470601,1.401617357,0.003351522,0.011730329,0.939807015,0.072924462,0.136542418,MEF2 activating motif and SAP domain containing transcriptional regulator
chr10,53625838,53795602,-,Man1a,3902,3347,4317,5137,5235,13491,11103,6274,8728,1.08,4.86E-07,2.59E-06,-0.23,0.237999228,0.599568333,-1.047233655,4.33E-08,4.10E-07,-1.309599874,7.46E-10,3.74E-09,"mannosidase 1, alpha"
chr3,100366126,100489396,-,Man1a2,7956,933,1355,2271,2013,2887,1982,1087,1566,0.03,0.731882042,0.99114463,0.07,0.536974561,0.969114606,-0.361042733,0.019236715,0.054639606,0.041963555,0.337211974,0.525149519,"mannosidase, alpha, class 1A, member 2"
chr2,25188262,25207733,+,Man1b1,3755,1252,2081,2416,2193,3856,2571,1619,1874,0.36,0.079238822,0.161055642,-0.08,0.506716292,0.944324512,-0.511938424,0.065919813,0.156772048,-0.443502032,0.015917712,0.03420505,"mannosidase, alpha, class 1B, member 1"
chr4,134117604,134260205,-,Man1c1,4727,322,522,1507,1577,747,256,83,107,-1.31,1.55E-09,1.12E-08,1.84,5.43E-05,0.0006902,1.80197754,1.05E-08,1.10E-07,3.145236932,2.41E-21,2.80E-20,"mannosidase, alpha, class 1C, member 1"
chr17,64950988,65104450,+,Man2a1,6100,6722,8230,8564,8426,18970,15058,6195,7091,0.83,4.01E-05,0.000161453,0.28,0.094838898,0.323935331,-0.023197224,0.576485516,0.87697345,-0.554003845,0.014016201,0.030451202,"mannosidase 2, alpha 1"
chr7,87493982,87516261,-,Man2a2,6578,925,1491,2250,1684,5640,3076,1583,1866,1.01,2.21E-05,9.29E-05,0.5,0.225240551,0.578069441,-0.915838484,0.000530353,0.002270709,-0.512517144,0.002354614,0.005818931,"mannosidase 2, alpha 2"
chr8,87607167,87622638,+,Man2b1,4349,4647,6910,17445,14430,13417,6731,4789,4386,-0.69,3.92E-05,0.000158092,0.15,0.725652229,1,-0.184521586,0.904096655,1,0.843770559,8.54E-06,2.92E-05,"mannosidase 2, alpha B1"
chr5,37198051,37221888,-,Man2b2,3453,1045,1612,2157,2004,4979,3120,1979,2068,0.89,1.32E-05,5.74E-05,0,0.885976771,1,-1.06191004,1.96E-06,1.39E-05,-0.896698577,7.34E-06,2.52E-05,"mannosidase 2, alpha B2"
chr9,56978583,56990017,+,Man2c1,3247,1535,2024,3457,2098,3598,1729,1356,1158,-0.26,0.354051827,0.570528669,0.07,0.961234548,1,0.037567182,0.370844265,0.644416084,0.330020789,0.330639846,0.51654141,"mannosidase, alpha, class 2C, member 1"
chr3,135148574,135234367,+,Manba,3691,1051,1303,1788,1541,2586,1588,968,968,0.22,0.302582437,0.501820869,0.08,0.696946677,1,-0.022337817,0.949744338,1,-0.135802359,0.527925141,0.768059364,"mannosidase, beta A, lysosomal"
chr2,157193329,157222499,+,Manbal,1110,693,668,1095,1169,1274,882,590,507,-0.09,0.394556672,0.623817747,-0.23,0.868304975,1,0.091487872,0.883288584,1,-0.131798489,0.501151748,0.737439589,"mannosidase, beta A, lysosomal-like"
chr4,26251652,26273799,-,Manea,4633,541,590,1038,959,1740,1177,662,669,0.43,0.028522558,0.06559765,0.06,0.561286226,0.987904566,-0.430841148,0.009897488,0.030522508,-0.372585665,0.112947552,0.202133151,"mannosidase, endo-alpha"
chr4,124532482,124539415,-,Maneal,2731,8,2,38,30,10,0,0,0,-1.73,0.000167901,0.000612947,2.43,0.054056732,0.214199224,2.958827342,0.008313401,0.026182876,4.159977943,2.35E-06,8.52E-06,"mannosidase, endo-alpha-like"
chr9,106789745,106794269,-,Manf,2210,15272,11799,6122,6130,10352,7672,7223,5761,0.44,0.052901728,0.113605263,-0.82,0.024404773,0.118604543,0.939134711,0.000674511,0.002828007,-1.259792312,3.23E-05,0.000103669,mesencephalic astrocyte-derived neurotrophic factor
chr6,134559224,134582506,-,Mansc1,2380,34,32,76,65,79,58,51,42,-0.28,0.667937594,0.922803219,-0.71,0.181475369,0.500354441,-0.699405998,0.034494013,0.090285039,-0.439300565,0.372345082,0.568846944,MANSC domain containing 1
chrX,16196823,16264938,+,Maoa,4176,333,342,254,295,1485,1178,623,754,2.23,3.33E-17,5.48E-16,-0.09,0.881194995,1,-1.040401488,2.20E-07,1.87E-06,-2.31959902,1.57E-17,1.40E-16,monoamine oxidase A
chrX,16286406,16394492,-,Maob,2427,3196,4860,1905,2052,17072,13786,10513,10994,2.85,4.16E-37,3.79E-35,-0.64,0.027173569,0.1288015,-1.858610814,1.38E-15,3.71E-14,-3.485527174,1.17E-47,8.39E-46,monoamine oxidase B
chr2,155102099,155103809,+,Map1lc3a,1049,2025,1674,1248,1250,4773,3404,2296,2275,1.62,1.47E-10,1.19E-09,-0.28,0.491338947,0.928275516,-0.321554626,0.02001149,0.056508752,-1.900486841,1.93E-12,1.19E-11,microtubule-associated protein 1 light chain 3 alpha
chr8,124114367,124121947,+,Map1lc3b,1716,5052,5217,5920,5814,10072,7711,4040,4311,0.45,0.019873577,0.047595006,-0.02,0.657613697,1,0.181543404,0.936837307,1,-0.470020584,0.059500699,0.113735503,microtubule-associated protein 1 light chain 3 beta
chr9,64033599,64101412,-,Map2k1,2398,1586,2531,3804,3621,5221,3792,2573,2516,0.14,0.381081076,0.606223849,-0.32,0.372593679,0.778580805,-0.838999723,0.002194385,0.008073058,-0.457227306,0.07763854,0.14454215,mitogen-activated protein kinase kinase 1
chr10,80568691,80587442,+,Map2k2,2384,5825,5670,5054,4788,12580,8484,6811,6249,1,5.74E-06,2.63E-05,-0.45,0.127760609,0.397742162,-0.366470859,0.031996012,0.084623572,-1.451446163,1.95E-09,9.44E-09,mitogen-activated protein kinase kinase 2
chr11,60745558,60766305,+,Map2k3,2178,3463,3918,2822,2705,8005,5661,3577,3305,1.19,2.85E-09,2.01E-08,-0.17,0.924818515,1,-0.187651356,0.347274663,0.612481077,-1.363046813,1.73E-09,8.41E-09,mitogen-activated protein kinase kinase 3
chr11,65501745,65601799,-,Map2k4,3705,1036,1614,2867,2576,4287,2967,1552,2059,0.27,0.157620182,0.291415515,0.13,0.983636709,1,-0.723787245,0.000537049,0.002298107,-0.135641373,0.152636149,0.264188881,mitogen-activated protein kinase kinase 4
chr9,63011576,63225659,-,Map2k5,2280,763,827,1211,974,1942,1220,1075,996,0.37,0.033605622,0.075972243,-0.48,0.032371577,0.147711053,-0.634470251,0.000721704,0.003000976,-0.847562126,2.29E-05,7.49E-05,mitogen-activated protein kinase kinase 5
chr11,110260435,110374951,+,Map2k6,2076,194,279,509,480,443,280,244,166,-0.51,0.020887357,0.04975627,-0.48,0.416436872,0.83664969,-0.472910671,0.710976039,1,0.035010606,0.147842293,0.256887611,mitogen-activated protein kinase kinase 6
chr8,4238739,4247897,+,Map2k7,3558,1313,2251,3253,2185,4232,2337,1690,1471,0.06,0.508078303,0.766437737,-0.01,0.980751202,1,-0.505493825,0.501120508,0.821706104,-0.075411619,0.526478755,0.766674996,mitogen-activated protein kinase kinase 7
chr13,112536642,112599191,-,Map3k1,6981,725,1339,3319,2269,2416,1113,451,747,-0.77,0.00496707,0.013717732,1.09,0.101383247,0.339977305,0.542663354,0.117207101,0.254831419,1.85804188,1.13E-05,3.80E-05,mitogen-activated protein kinase kinase kinase 1
chr7,28441395,28459617,-,Map3k10,3700,823,854,918,908,1834,1232,639,680,0.68,0.004683447,0.01298691,0.18,0.370469255,0.775439565,0.224311217,0.775470776,1,-0.499499685,0.055808015,0.107144012,mitogen-activated protein kinase kinase kinase 10
chr19,5689130,5702864,+,Map3k11,3815,1671,2048,2754,2520,4214,2674,1809,1861,0.3,0.147208435,0.274833229,-0.12,0.51370702,0.949236792,-0.25530716,0.129600494,0.277544736,-0.414828723,0.036119845,0.072189989,mitogen-activated protein kinase kinase kinase 11
chr15,102328077,102347435,-,Map3k12,5544,6978,5456,10660,10420,9067,5848,2026,1949,-0.55,0.010217127,0.026202388,0.83,0.00030462,0.003168919,1.642765782,2.14E-08,2.14E-07,1.373711872,1.18E-09,5.79E-09,mitogen-activated protein kinase kinase kinase 12
chr16,21892041,21931950,+,Map3k13,6722,37,186,333,199,401,215,233,410,-0.05,0.881327166,1,-0.54,0.041259851,0.175458176,-2.805453552,0.000710598,0.002961578,-0.48778684,0.02876601,0.058616577,mitogen-activated protein kinase kinase kinase 13
chr11,103081077,103128715,-,Map3k14,4189,677,1011,2311,1916,1002,492,135,160,-1.51,2.55E-11,2.24E-10,1.55,9.07E-07,1.77E-05,2.176538532,5.98E-17,1.87E-15,3.067372274,6.92E-28,1.28E-26,mitogen-activated protein kinase kinase kinase 14
chrX,156426364,156561283,+,Map3k15,4377,1060,1269,1842,1805,3965,2878,1430,1361,0.79,1.79E-05,7.61E-05,0.13,0.12103531,0.382858393,-0.572412297,0.003330314,0.011666641,-0.656303765,0.006285987,0.014461131,mitogen-activated protein kinase kinase kinase 15
chr18,32322742,32396405,+,Map3k2,10808,1137,1676,1557,1157,2246,1502,670,1025,0.21,0.136155513,0.256880511,0.41,0.599203398,1,0.621486941,0.0823931,0.189154959,0.197016332,0.339439529,0.52808774,mitogen-activated protein kinase kinase kinase 2
chr11,105946215,106016748,+,Map3k3,3165,318,772,1635,1276,1533,595,451,497,-0.4,0.035870548,0.080528548,0.43,0.84128821,1,-0.647483871,0.653297998,0.967871557,0.836360461,0.022204546,0.046339228,mitogen-activated protein kinase kinase kinase 3
chr17,12420486,12511526,-,Map3k4,5332,473,725,942,832,1995,1296,1069,1035,0.77,0.001310531,0.004055491,-0.44,0.115204208,0.370977664,-1.316285097,4.01E-06,2.69E-05,-1.202247281,2.12E-06,7.72E-06,mitogen-activated protein kinase kinase kinase 4
chr10,19654331,19862556,+,Map3k5,5423,1061,1917,1250,965,3091,1813,1142,1170,0.99,1.46E-05,6.30E-05,0.1,0.846819936,1,-0.247735217,0.856826063,1,-0.888512892,3.68E-05,0.000117266,mitogen-activated protein kinase kinase kinase 5
chr4,132796732,132808843,+,Map3k6,4362,87,152,2175,1397,250,91,39,32,-3.39,5.20E-15,6.69E-14,1.35,0.011782355,0.067427216,0.985109685,0.001911584,0.007135435,4.739647921,1.06E-21,1.25E-20,mitogen-activated protein kinase kinase kinase 6
chr4,32051081,32110441,+,Map3k7,5779,1284,2059,2491,2118,3906,2586,1506,1976,0.33,0.075198662,0.153917072,0.04,0.576991269,1,-0.371068892,0.084193467,0.192584269,-0.294654399,0.019837766,0.041899478,mitogen-activated protein kinase kinase kinase 7
chr18,4331324,4352951,-,Map3k8,2515,618,987,1336,1046,957,364,109,34,-0.79,0.0122816,0.030980613,1.79,2.14E-06,3.85E-05,2.340417256,4.94E-12,8.55E-11,2.573961769,6.80E-12,4.03E-11,mitogen-activated protein kinase kinase kinase 8
chr12,82815936,82882157,-,Map3k9,11901,30,50,984,673,43,20,6,6,-4.7,2.86E-38,2.77E-36,1.4,0.014679374,0.080084727,1.98080001,1.81E-06,1.30E-05,6.098248356,8.00E-44,4.47E-42,mitogen-activated protein kinase kinase kinase 9
chr7,29767872,29788297,+,Map4k1,2730,237,332,3680,2932,471,155,48,19,-3.25,1.91E-22,5.24E-21,1.95,4.92E-08,1.19E-06,2.123636738,1.04E-12,1.95E-11,5.195249234,1.72E-41,8.37E-40,mitogen-activated protein kinase kinase kinase kinase 1
chr19,6341249,6353527,+,Map4k2,2498,455,907,2682,1706,1652,688,464,406,-1.01,9.88E-05,3.74E-04,0.5,0.23105137,0.587866524,-0.171621586,0.257449071,0.48247048,1.50890365,5.07E-07,1.97E-06,mitogen-activated protein kinase kinase kinase kinase 2
chr17,80979851,81127433,-,Map4k3,4265,1268,1552,1816,1398,2572,1659,1002,1142,0.19,0.185862493,0.33352207,0.02,0.844795961,1,0.198609647,0.639948466,0.952099749,-0.16214882,0.130297597,0.229663721,mitogen-activated protein kinase kinase kinase kinase 3
chr1,39957757,40083155,+,Map4k4,6007,854,1325,3525,2947,1906,768,405,750,-1.2,2.00E-07,1.13E-06,0.9,0.683809163,1,0.934425446,0.030945425,0.082209839,2.099230794,2.68E-08,1.17E-07,mitogen-activated protein kinase kinase kinase kinase 4
chr12,70904743,70994150,-,Map4k5,4485,721,1126,837,697,1296,837,453,748,0.31,0.142044902,0.266649719,0.18,0.432170626,0.855943868,0.528832848,0.206995096,0.403943742,-0.133526177,0.024969897,0.051467884,mitogen-activated protein kinase kinase kinase kinase 5
chr16,20233381,20241431,-,Map6d1,3277,2,14,10,6,4,3,2,2,-1.29,0.260566261,0.443305997,-0.28,1,1,-0.257612972,0.189885411,0.377077412,1.012634849,0.401240849,0.607085764,MAP6 domain containing 1
chr16,16983474,17047546,+,Mapk1,5709,3099,3810,5990,5646,7441,5619,3586,4520,0,0.729003237,0.988796266,-0.28,0.126872511,0.395986724,-0.351388027,0.00971613,0.030011984,-0.280982503,0.061229676,0.116694904,mitogen-activated protein kinase 1
chr5,103336966,103640353,-,Mapk10,7217,0,0,92,53,2,0,0,0,-4.55,1.13E-15,1.58E-14,0.86,1,1,0,1,1,5.4145644,3.14E-13,2.06E-12,mitogen-activated protein kinase 10
chr15,88972913,88980036,-,Mapk11,2454,308,352,284,188,273,130,57,61,-0.36,0.180729424,0.325593163,0.93,0.022447734,0.111304746,2.2722267,5.20E-13,1.01E-11,1.290535491,0.00035707,0.000995837,mitogen-activated protein kinase 11
chr15,88961013,88971133,-,Mapk12,1902,554,618,324,299,683,295,135,116,0.77,0.117875371,0.226998975,1.01,0.004295624,0.029684896,1.886508079,5.57E-10,7.13E-09,0.235653577,0.186738674,0.314319316,mitogen-activated protein kinase 12
chr17,28906261,28915649,+,Mapk13,1400,66,108,71,55,52,22,6,4,-0.68,0.013921288,0.034613323,1.66,0.001211844,0.010496926,3.082848797,1.77E-14,4.13E-13,2.34396207,9.31E-08,3.88E-07,mitogen-activated protein kinase 13
chr17,28828286,28885350,+,Mapk14,3803,3393,4882,7223,5578,6657,4067,3181,3601,-0.43,0.047783996,0.103872422,-0.27,0.051300199,0.206230174,-0.047986714,0.922356978,1,0.162196678,0.979730387,1,mitogen-activated protein kinase 14
chr15,75824198,75829583,+,Mapk15,1944,423,374,216,113,3391,1727,1483,852,3.62,1.95E-32,1.27E-30,-0.14,0.812095205,1,-1.946350515,7.92E-10,9.84E-09,-3.762393272,2.82E-31,6.62E-30,mitogen-activated protein kinase 15
chr7,146027500,146037950,-,Mapk1ip1,1526,554,751,1768,1037,1436,752,429,257,-0.61,0.148807686,0.277284366,0.41,0.073353588,0.269659344,0.225483217,0.069460304,0.16406723,1.021502482,0.001358217,0.003484375,mitogen-activated protein kinase 1 interacting protein 1
chr14,47917988,47942766,+,Mapk1ip1l,4497,1956,3072,3439,2952,5486,3935,2319,2822,0.36,0.042662474,0.093854211,-0.09,0.562150139,0.988526728,-0.386605722,0.130153915,0.278550232,-0.452303642,0.00934957,0.020937897,mitogen-activated protein kinase 1 interacting protein 1-like
chr7,133903139,133909330,+,Mapk3,1781,1861,2214,4461,4097,5530,3324,1720,1824,0,0.67731336,0.933173019,0.35,0.159420526,0.461271543,-0.027247682,0.658255863,0.973642201,0.353453657,0.06857654,0.129287561,mitogen-activated protein kinase 3
chr18,74088140,74224603,-,Mapk4,4619,16,23,2,8,80,53,48,43,4.44,2.51E-13,2.71E-12,-0.59,0.19696222,0.528141454,-1.663593293,0.000136211,0.000664891,-5.036289338,2.87E-16,2.36E-15,mitogen-activated protein kinase 6
chr9,75234707,75257821,-,Mapk6,4249,654,1180,1540,1353,3307,2160,1267,1579,0.79,0.000570119,0.001882576,0.05,0.733204414,1,-1.094805625,4.65E-05,0.000251099,-0.738849167,0.000163422,0.000480749,mitogen-activated protein kinase 6
chr11,61302313,61307705,-,Mapk7,2933,375,575,1587,1080,843,273,104,101,-1.21,1.90E-06,9.32E-06,1.69,4.19E-05,0.000549771,1.69698415,5.51E-09,6.00E-08,2.898853481,4.22E-17,3.69E-16,mitogen-activated protein kinase 7
chr14,34191083,34260344,-,Mapk8,5768,555,1052,1173,943,2085,1334,773,961,0.51,0.012199455,0.030793455,0.1,0.846768767,1,-0.619362508,0.060962773,0.146755215,-0.417806553,0.007240153,0.0165059,mitogen-activated protein kinase 8
chr2,92223832,92241420,-,Mapk8ip1,3474,88,108,259,290,232,105,63,48,-0.43,0.004235726,0.011842912,0.55,0.121399904,0.383646147,0.332243472,0.12721004,0.273130203,0.989422534,1.98E-05,6.53E-05,mitogen-activated protein kinase 8 interacting protein 1
chr15,89284341,89292878,+,Mapk8ip2,3551,4,2,6,0,0,0,0,0,-2.08,0.074456623,0.152643958,0,1,1,2.118636328,0.074456623,0.174134237,2.077215948,0.184364703,0.310841243,mitogen-activated protein kinase 8 interacting protein 2
chr17,25034450,25073922,-,Mapk8ip3,5648,2632,3730,5426,3039,4874,1859,988,781,-0.47,0.049593291,0.107273649,0.97,0.001696473,0.013794974,1.271171574,6.18E-09,6.69E-08,1.435954875,4.68E-07,1.82E-06,mitogen-activated protein kinase 8 interacting protein 3
chr11,49660252,49699923,+,Mapk9,4767,1730,2490,3124,2419,5969,3869,2489,2700,0.62,0.000360369,0.001237254,-0.07,0.618492966,1,-0.665621361,0.00269611,0.009684325,-0.692433307,5.13E-05,0.000160797,mitogen-activated protein kinase 9
chr2,34287544,34480470,+,Mapkap1,3029,923,1393,1739,1703,3638,2707,1956,1974,0.75,8.78E-05,0.000335636,-0.44,0.11920681,0.379247967,-1.223966184,9.76E-08,8.74E-07,-1.190811127,5.50E-08,2.34E-07,mitogen-activated protein kinase associated protein 1
chr1,132950280,132994120,-,Mapkapk2,2577,3310,4104,8587,8352,8276,5122,2993,2644,-0.37,0.015155018,0.037388814,0.13,0.260955481,0.635636241,0.004159133,0.607560989,0.913534503,0.499037145,0.000403531,0.001116703,MAP kinase-activated protein kinase 2
chr9,107157257,107192208,-,Mapkapk3,2827,620,994,1173,1105,925,559,261,226,-0.65,0.00104826,0.003310896,0.49,0.015351449,0.082853617,1.102252447,3.08E-09,3.52E-08,1.141772142,2.30E-08,1.01E-07,mitogen-activated protein kinase-activated protein kinase 3
chr5,121975059,121995901,-,Mapkapk5,2222,1353,1759,2227,1836,3411,2174,1652,1428,0.3,0.071652046,0.147597373,-0.29,0.377943824,0.785917544,-0.428953865,0.136499619,0.289623953,-0.589666357,0.007545043,0.017153864,MAP kinase-activated protein kinase 5
chr2,119798434,119853139,+,Mapkbp1,6967,218,412,510,342,805,376,241,226,0.34,0.271578575,0.458816958,0.41,0.36724312,0.771884788,-0.288886618,0.718363905,1,0.065619236,0.867298923,1,mitogen-activated protein kinase binding protein 1
chr2,153567022,153599050,+,Mapre1,7334,1715,2573,6249,6422,4033,2338,1335,1575,-0.94,3.60E-08,2.21E-07,0.26,0.663631183,1,0.220044031,0.224148214,0.431475564,1.204741639,3.40E-09,1.61E-08,"microtubule-associated protein, RP/EB family, member 1"
chr18,23910833,24052362,+,Mapre2,4343,795,1253,1993,2110,2672,1437,689,844,0.11,0.463661259,0.711561186,0.62,0.087558238,0.306039022,0.06492308,0.628258224,0.938470313,0.509430752,0.014941476,0.032277365,"microtubule-associated protein, RP/EB family, member 2"
chr5,31117128,31168479,+,Mapre3,1913,1390,1659,1637,1197,4702,2595,1906,1313,1.21,1.09E-08,7.15E-08,-0.03,0.540651666,0.972591916,-0.596252669,0.081857624,0.188130061,-1.238471829,3.31E-07,1.31E-06,"microtubule-associated protein, RP/EB family, member 3"
chr11,104092749,104193407,+,Mapt,5396,141,222,38,22,487,150,97,89,3.26,2.00E-15,2.70E-14,1.01,0.07699597,0.279504272,0.390103952,0.075270124,0.175683206,-2.25313418,4.90E-10,2.49E-09,microtubule-associated protein tau
chr10,36853048,36858732,-,Marcks,4188,4030,4216,13742,13570,6198,2552,525,588,-1.46,1.17E-15,1.64E-14,2.23,6.98E-16,6.55E-14,2.797114167,7.13E-28,6.76E-26,3.686321522,1.76E-50,1.52E-48,myristoylated alanine rich protein kinase C substrate
chr4,129190824,129193225,+,Marcksl1,1603,1109,1506,4611,5090,3322,1323,576,448,-0.78,1.67E-07,9.51E-07,1.19,1.07E-05,0.000164245,0.802147916,1.96E-05,0.000115495,1.976458159,1.39E-20,1.54E-19,MARCKS-like 1
chr1,122371114,122401661,-,Marco,2002,8613,8097,17742,18157,16503,5178,473,111,-0.42,0.075496211,0.154461832,3.78,2.74E-11,1.17E-09,4.039221173,3.19E-13,6.35E-12,4.201477611,3.36E-15,2.56E-14,macrophage receptor with collagenous structure
chr1,186720302,186823428,-,Mark1,4583,83,135,548,388,120,37,36,46,-2.41,2.95E-14,3.50E-13,0.46,0.648618284,1,1.03965945,0.004026702,0.013782074,2.877935391,5.19E-12,3.10E-11,MAP/microtubule affinity regulating kinase 1
chr19,7349885,7416334,-,Mark2,5095,1262,1838,2899,2009,2518,1329,734,786,-0.52,0.015042661,0.037139217,0.44,0.16447713,0.469588268,0.6398357,0.000419664,0.001842619,0.960615033,0.000149525,0.000442237,MAP/microtubule affinity regulating kinase 2
chr12,112812720,112894438,+,Mark3,3405,1758,2314,3283,2567,3838,2358,1698,1851,-0.09,0.838004171,1,-0.16,0.216966357,0.564457422,-0.090895311,0.585790033,0.888169426,-0.069472037,0.303140729,0.47975771,MAP/microtubule affinity regulating kinase 3
chr7,20011423,20043843,-,Mark4,2276,167,346,482,351,892,494,339,272,0.57,0.035925213,0.08059677,0.06,0.650826476,1,-1.163929716,0.046247663,0.115731204,-0.508142368,0.106844198,0.192157496,MAP/microtubule affinity regulating kinase 4
chr10,126733276,126748842,-,Mars,2985,2622,2803,3592,3266,8383,5881,4647,4127,0.91,1.15E-06,5.82E-06,-0.48,0.110596256,0.360876998,-0.966219404,5.84E-07,4.56E-06,-1.392349677,1.54E-10,8.15E-10,methionine-tRNA synthetase
chr1,55294020,55296902,+,Mars2,2883,166,154,291,324,212,121,115,133,-0.75,0.000222799,0.000795194,-0.44,0.033121692,0.150106887,0.390066619,0.762293646,1,0.305502018,0.139405524,0.243739421,methionine-tRNA synthetase 2 (mitochondrial)
chr19,42221878,42226193,+,Marveld1,3079,1636,2307,2042,1774,3592,2261,1494,1405,0.5,0.00700759,0.018691195,-0.07,0.93892546,1,-0.010281403,0.451266106,0.754490957,-0.56999737,0.00578386,0.013386363,MARVEL (membrane-associating) domain containing 1
chr13,101365911,101386926,-,Marveld2,3389,456,681,823,722,1903,1284,538,802,0.89,0.000115659,0.000433813,0.49,0.330604297,0.727845633,-0.378857912,0.025720784,0.070100975,-0.406556679,0.00410756,0.009731849,MARVEL (membrane-associating) domain containing 2
chr8,112471808,112486105,-,Marveld3,3209,34,44,39,26,125,93,70,59,1.26,3.52E-06,1.67E-05,-0.51,0.475888472,0.910634058,-1.158983041,0.004693478,0.015760212,-1.774484571,2.48E-07,9.89E-07,MARVEL (membrane-associating) domain containing 3
chr17,13033870,13061009,-,Mas1,2484,0,2,0,0,16,15,14,2,2.61,0.000301456,0.00104925,-1.18,1,1,-3.786051743,0.028117314,0.075612864,-3.786051743,0.001345835,0.003453374,MAS1 oncogene
chr16,23451857,23520663,-,Masp1,2768,215,770,619,530,2102,1435,1862,2068,1.45,3.31E-04,1.14E-03,-1.16,0.005170993,0.034662208,-3.257643881,5.17E-08,4.83E-07,-2.605730248,1.02E-09,5.04E-09,mannan-binding lectin serine peptidase 1
chr4,147976652,147989589,+,Masp2,3229,10597,12988,7590,5716,27845,19301,14957,12754,1.56,7.32E-18,1.29E-16,-0.44,0.208277164,0.549105081,-0.638134129,0.007023522,0.022570056,-1.9992188,1.74E-22,2.18E-21,mannan-binding lectin serine peptidase 2
chr8,87435751,87461252,-,Mast1,4948,192,353,220,213,614,339,201,232,1.17,2.04E-04,7.34E-04,0.28,0.740956094,1,-0.209638486,0.98204635,1,-0.890406079,0.000948187,0.002483474,microtubule associated serine/threonine kinase 1
chr4,115979366,116136788,-,Mast2,5757,809,1075,5575,3824,2558,1417,686,694,-1.44,1.12E-10,9.23E-10,0.56,0.02486033,0.120340361,0.096534287,0.488194426,0.804883546,2.000389151,1.57E-17,1.41E-16,microtubule associated serine/threonine kinase 2
chr8,73302015,73316332,-,Mast3,5360,1907,3127,6080,3445,4826,1943,1485,852,-0.65,0.021411908,0.050875447,0.37,0.133403716,0.409551171,0.218827991,0.006489757,0.021011695,1.012421967,0.000165495,0.000486294,microtubule associated serine/threonine kinase 3
chr13,103522568,104124572,-,Mast4,10699,98,112,232,224,454,225,118,192,0.66,0.166882335,0.305189288,0.62,0.835663009,1,-0.399165618,0.006308043,0.020506212,-0.047954365,0.258514017,0.419806382,microtubule associated serine/threonine kinase family member 4
chr2,22972063,23011544,-,Mastl,4664,26,44,389,313,121,53,30,31,-1.94,9.18E-13,9.37E-12,0.69,0.2231952,0.574743097,-0.34800167,0.809697221,1,2.633798267,2.87E-15,2.20E-14,microtubule associated serine/threonine kinase-like
chr14,41918669,41937701,+,Mat1a,3217,69459,99600,115247,115032,207685,158745,108355,122709,0.54,0.015519708,0.038142768,-0.4,0.162769268,0.467295588,-0.782540458,0.001425023,0.005488486,-0.932133833,0.000147795,0.000437717,"methionine adenosyltransferase I, alpha"
